,epoch,time,err
0,1,-2013.7510766346,0.0010657544108557803
1,2,-1946.6355635463,0.0007244633129315073
2,3,-1879.4527913445,0.0007327085700341246
3,4,-1812.1989709299,0.0007925172524835943
4,5,-1744.8676063209,0.0009348705912257853
5,6,-1677.4522038222,0.0007085774794457768
6,7,-1609.9614396015,0.0007560415570347776
7,8,-1542.3899397267,0.0007027309492133976
8,9,-1474.7432813379,0.0007483185769681524
9,10,-1407.0361463992,0.0009039009694692105
10,11,-1339.2961224661,0.0008663034250229973
11,12,-1271.54800667585,0.0008819283263574587
12,13,-1203.8217422862,0.0007855792022879004
13,14,-1136.1469972878,0.0007018071324389951
14,16,-1001.0019252273,0.000964269249323523
15,17,-933.544800773,0.0008753085026211657
16,18,-866.1671407614,0.0013744848585885699
17,19,-798.8654835226,0.0008583264036083208
18,21,-664.4853682331,0.0009289011233324565
19,22,-597.3924326134,0.0008728537785917157
